JobID,RunID,Attempt,Status,Conclusion,JobName,StartedAt,CompletedAt,StepName
29464563620,10628875155,1,completed,failure,"Build, Test and Deploy",2024-08-30 07:46:58 +0000 UTC,2024-08-30 07:47:31 +0000 UTC,build (golang)
29464563893,10628875155,1,completed,failure,"Build, Test and Deploy",2024-08-30 07:46:59 +0000 UTC,2024-08-30 07:47:18 +0000 UTC,build (python)
29464564110,10628875155,1,completed,failure,"Build, Test and Deploy",2024-08-30 07:46:58 +0000 UTC,2024-08-30 07:47:36 +0000 UTC,build (java)
29463682885,10628574886,1,completed,success,"Build, Test and Deploy",2024-08-30 07:22:14 +0000 UTC,2024-08-30 07:22:41 +0000 UTC,build (golang)
29463683126,10628574886,1,completed,success,"Build, Test and Deploy",2024-08-30 07:22:14 +0000 UTC,2024-08-30 07:22:47 +0000 UTC,build (python)
29463683368,10628574886,1,completed,success,"Build, Test and Deploy",2024-08-30 07:22:13 +0000 UTC,2024-08-30 07:24:01 +0000 UTC,build (java)
29462054079,10628002320,1,completed,success,"Build, Test and Deploy",2024-08-30 06:32:49 +0000 UTC,2024-08-30 06:33:26 +0000 UTC,build (golang)
29462054273,10628002320,1,completed,success,"Build, Test and Deploy",2024-08-30 06:32:49 +0000 UTC,2024-08-30 06:33:34 +0000 UTC,build (python)
29462054454,10628002320,1,completed,success,"Build, Test and Deploy",2024-08-30 06:32:49 +0000 UTC,2024-08-30 06:34:45 +0000 UTC,build (java)
29460339223,10627355233,1,completed,success,"Build, Test and Deploy",2024-08-30 05:27:31 +0000 UTC,2024-08-30 05:28:05 +0000 UTC,build (golang)
29460339341,10627355233,1,completed,success,"Build, Test and Deploy",2024-08-30 05:27:31 +0000 UTC,2024-08-30 05:28:12 +0000 UTC,build (python)
29460339472,10627355233,1,completed,success,"Build, Test and Deploy",2024-08-30 05:27:31 +0000 UTC,2024-08-30 05:29:26 +0000 UTC,build (java)
29458986579,10626831431,1,completed,success,"Build, Test and Deploy",2024-08-30 04:28:57 +0000 UTC,2024-08-30 04:29:33 +0000 UTC,build (golang)
29458986739,10626831431,1,completed,success,"Build, Test and Deploy",2024-08-30 04:28:57 +0000 UTC,2024-08-30 04:29:39 +0000 UTC,build (python)
29458986909,10626831431,1,completed,success,"Build, Test and Deploy",2024-08-30 04:28:58 +0000 UTC,2024-08-30 04:30:57 +0000 UTC,build (java)
29457665487,10626321437,1,completed,success,"Build, Test and Deploy",2024-08-30 03:27:06 +0000 UTC,2024-08-30 03:27:34 +0000 UTC,build (golang)
